,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
31,SH600519,2019-02-21,720.0,730.48,717.0,720.25,2985040,2163554304.0,3788237.0,3509143.0,3097735.0,13.480000000000018,0.00034722222222222224,747410666.0,69.39563792808036,77.08085713909584,54.025199506049404,54.00410171463505,7594.706964318062,-0.011414985837307982,1.0
32,SH600519,2019-02-22,717.0,728.49,714.1,726.01,2590877,1867253888.0,2985040.0,3567706.0,3768347.0,14.389999999999986,0.012566248256624814,750001543.0,59.132478229741274,71.09806416931099,35.20130635060184,92.25348330056939,7604.564934229206,-0.011376816177821155,1.0
33,SH600519,2019-02-25,730.75,744.44,717.99,742.33,8262259,6034261504.0,2590877.0,3225813.0,3475013.0,26.450000000000045,0.01584673280875818,758263802.0,69.92408327147527,70.70673720336575,68.35877540769431,-161.3246706370891,7648.868026438805,-0.011347246569783843,1.0
34,SH600519,2019-02-26,747.8,749.18,726.0,727.35,5796466,4265279232.0,8262259.0,2323798.0,2883813.0,23.17999999999995,-0.027346884193634572,752467336.0,59.206325373685935,66.87326659347248,43.872442934112854,-333.03212069278777,7650.306793291189,-0.011347246569783843,-1.0
35,SH600519,2019-02-27,733.0,758.02,731.0,740.7,6594227,4908445184.0,5796466.0,3774589.0,4989227.0,27.019999999999982,0.010504774897680825,759061563.0,59.659104590350466,64.46854592576514,50.040221919521116,-3828.554676048574,7681.346024783059,-0.011347246569783843,1.0
36,SH600519,2019-02-28,737.9,763.42,736.95,755.01,5698625,4289145344.0,6594227.0,2950150.0,2904390.0,26.469999999999914,0.023187423770158578,764760188.0,67.42210108672731,65.45306431275253,71.36017463467687,-379.1911805905865,7737.839950192139,-0.01107931024954975,1.0
37,SH600519,2019-03-01,761.5,790.0,761.0,789.3,6384023,4952508928.0,5698625.0,3788237.0,3888421.0,29.0,0.03650689428759022,771144211.0,77.97397867793238,69.62670243447916,94.66853116483881,-225.87237108535516,7859.03523093217,-0.01107931024954975,1.0
38,SH600519,2019-03-04,795.0,798.33,777.22,781.86,8458596,6661386752.0,6384023.0,2985040.0,2564890.0,21.110000000000014,-0.016528301886792437,762685615.0,78.79811804220384,72.68384097038738,91.02667218583676,-136.21911328545832,7937.831741164674,-0.011347246569783843,-1.0
39,SH600519,2019-03-05,785.0,789.55,775.88,779.78,4483056,3501155840.0,8458596.0,2590877.0,5576485.0,13.669999999999959,-0.006649681528662455,758202559.0,78.5244013035326,74.63069441476911,86.31181508105956,-74.46227292017214,7995.203538245058,-0.011347246569783843,1.0
40,SH600519,2019-03-06,775.0,779.5,765.88,768.0,4673137,3602140416.0,4483056.0,8262259.0,4208364.0,13.620000000000005,-0.00903225806451613,753529422.0,73.68008486126517,74.31382456360113,72.41260545659324,-28.335681320764184,8014.013681590596,-0.011347246569783843,1.0
41,SH600519,2019-03-07,762.22,762.22,745.56,748.6,6018053,4526351872.0,4673137.0,5796466.0,3028476.0,16.660000000000082,-0.01786885676051534,747511369.0,61.82024742970744,70.14929885230323,45.16214458451586,56.34952785859346,7985.43935839073,-0.011376816177821155,-1.0
42,SH600519,2019-03-08,737.9,746.83,733.65,737.5,5227525,3868415488.0,6018053.0,6594227.0,6860918.0,13.180000000000064,-0.0005420788724759144,742283844.0,46.51328168662832,62.270626463744925,14.998592132395103,159.21207047951822,7938.150257269462,-0.011376816177821155,1.0
43,SH600519,2019-03-11,740.04,766.95,740.04,758.54,5305724,4001728768.0,5227525.0,5698625.0,4705193.0,26.910000000000082,0.02499864872169072,747589568.0,44.64319279133306,56.39481523960763,21.1399478947839,107.31270605802311,7948.030114671038,-0.011376816177821155,1.0
44,SH600519,2019-03-12,763.82,763.83,739.0,745.01,5251001,3946382080.0,5305724.0,6384023.0,4212221.0,24.83000000000004,-0.024626220837370136,742338567.0,35.61659152487551,49.46874066803026,7.912293238566022,-376.9133253649289,7925.643939413106,-0.011414985837307982,-1.0
45,SH600519,2019-03-13,745.5,760.75,745.5,754.0,4056136,3058081024.0,5251001.0,8458596.0,3362481.0,15.25,0.011401743796109993,746394703.0,34.23192269458821,44.38980134354957,13.916165396665477,-25.870121831124987,7928.2182104595295,-0.011376816177821155,1.0
46,SH600519,2019-03-14,757.0,785.0,754.0,778.0,6217256,4808607744.0,4056136.0,4483056.0,2915527.0,31.0,0.02774108322324967,752611959.0,45.67739393821855,44.8189988751059,47.39418406444385,180.48466099510478,7984.011661250001,-0.011376816177821155,1.0
47,SH600519,2019-03-15,776.0,787.5,764.85,777.3,5240071,4084798208.0,6217256.0,4673137.0,2898635.0,22.649999999999977,0.0016752577319587042,747371888.0,56.48021849906282,48.706072083091534,72.02851133100539,330.07836045810853,8026.461330281207,-0.011376816177821155,1.0
48,SH600519,2019-03-18,778.8,814.53,777.0,810.09,8131880,6499567104.0,5240071.0,6018053.0,3610287.0,37.52999999999997,0.04017719568567037,755503768.0,69.15694091826742,55.52302836148349,96.42476603183529,-473.7730679906057,8133.262933493002,-0.011376816177821155,1.0
49,SH600519,2019-03-19,803.0,807.92,792.3,792.61,4063493,3244967424.0,8131880.0,5227525.0,3034259.0,15.620000000000005,-0.01293897882938977,751440275.0,70.40400083637876,60.48335251978191,90.24529746957244,-137.32425667298247,8178.296704235421,-0.011376816177821155,-1.0
50,SH600519,2019-03-20,790.0,802.3,785.0,792.8,3111752,2470811136.0,4063493.0,5305724.0,2269996.0,17.299999999999955,0.003544303797468297,754552027.0,71.31367942339527,64.09346148765303,85.75411529487974,-66.91973986286871,8214.186181211913,-0.011376816177821155,1.0
